날짜,시간,시가,고가,저가,종가,거래량,거래대금,누적체결매도수량,누적체결매수수량
20240625,901,113500,113500,113100,113100,240,27239000,9,231
20240625,902,113200,113600,112600,112800,1080,121909000,957,363
20240625,903,112800,113600,112600,113600,407,45996000,1057,670
20240625,904,113600,114100,113600,114100,2088,237910000,1258,2557
20240625,905,114100,114500,114100,114300,361,41254000,1457,2719
20240625,906,114300,114300,113200,113400,165,18727000,1520,2821
20240625,907,113300,113400,113100,113300,74,8382000,1589,2826
20240625,908,113300,113400,113100,113300,86,9737000,1616,2885
20240625,909,113300,113900,113200,113900,482,54694000,1757,3226
20240625,910,114000,114000,113500,113500,63,7171000,1806,3240
20240625,911,113500,113500,112900,113200,319,36092000,2026,3339
20240625,912,113300,113800,113300,113600,793,89959000,2272,3886
20240625,913,113500,113500,113100,113400,275,31156000,2379,4054
20240625,914,113500,114500,113500,114200,559,63755000,2475,4517
20240625,915,114200,114500,114100,114500,90,10286000,2482,4600
20240625,916,114500,114500,113000,113100,578,65792000,2969,4691
20240625,917,113200,113500,112800,112800,300,33945000,3133,4827
20240625,918,113000,113500,112600,112700,1457,164333000,4253,5164
20240625,919,112900,112900,112200,112200,654,73605000,4892,5179
20240625,920,112200,112400,111600,111600,583,65314000,5454,5200
20240625,921,111600,111800,111500,111600,418,46703000,5730,5342
20240625,922,111600,111900,111200,111300,658,73421000,6307,5423
20240625,923,111200,111400,111200,111300,193,21475000,6417,5506
20240625,924,111400,111400,111200,111200,362,40259000,6766,5519
20240625,925,111300,112800,111200,112000,905,101287000,7022,6168
20240625,926,111800,112100,111400,111400,154,17198000,7175,6169
20240625,927,111600,111600,111200,111200,227,25276000,7358,6213
20240625,928,111200,111300,111100,111200,795,88360000,8052,6314
20240625,929,111200,111200,110400,110500,1713,189816000,8971,7108
20240625,930,110500,111200,110300,110700,1095,121182000,9438,7736
20240625,931,110700,111000,110300,110300,445,49272000,9776,7843
20240625,932,110300,110400,110100,110100,730,80476000,10344,8005
20240625,933,110100,110200,110100,110200,264,29073000,10533,8080
20240625,934,110300,110400,110100,110200,487,53657000,10787,8313
20240625,935,110200,110400,109900,110100,1797,197758000,11930,8967
20240625,936,110000,110200,109800,109900,559,61435000,12367,9089
20240625,937,109800,110000,109300,109600,905,99183000,13255,9106
20240625,938,109400,109700,109400,109400,748,81968000,13740,9369
20240625,939,109400,109800,109100,109700,1374,150175000,14678,9805
20240625,940,109700,109900,109100,109100,791,86564000,15304,9970
20240625,941,109100,109300,108900,109100,1065,116137000,16139,10200
20240625,942,109100,109900,109100,109900,644,70509000,16434,10549
20240625,943,109900,110800,109500,110000,772,84854000,16779,10976
20240625,944,110000,110200,109700,110100,351,38590000,17001,11105
20240625,945,110100,110400,110000,110200,266,29302000,17143,11229
20240625,946,110400,110700,110000,110000,317,34938000,17415,11274
20240625,947,110100,110600,110100,110300,490,54022000,17665,11514
20240625,948,110300,110300,110000,110100,324,35684000,17928,11575
20240625,949,110200,110400,110100,110300,554,61070000,18324,11733
20240625,950,110200,110200,109200,109600,859,94225000,18874,12042
20240625,951,109500,109900,109100,109200,894,97904000,19423,12387
20240625,952,109200,109500,108800,109100,991,108105000,20341,12460
20240625,953,108900,109200,108800,108900,528,57531000,20669,12660
20240625,954,108900,109000,108700,108800,541,58866000,20993,12877
20240625,955,108800,109100,108800,108800,350,38096000,21158,13062
20240625,956,108800,109000,108700,108900,492,53538000,21499,13213
20240625,957,108900,109100,108600,108600,335,36467000,21723,13324
20240625,958,108600,109100,108600,109000,561,61056000,21980,13628
20240625,959,109000,109000,108600,108600,242,26306000,22156,13694
20240625,1000,108600,108700,108200,108500,1273,138043000,23197,13926
20240625,1001,108500,108600,108300,108400,637,69062000,23619,14141
20240625,1002,108300,108800,108300,108500,579,62801000,23924,14415
20240625,1003,108600,108900,108300,108500,373,40516000,24039,14673
20240625,1004,108400,108900,108400,108400,336,36464000,24191,14857
20240625,1005,108400,108900,108400,108900,430,46644000,24411,15067
20240625,1006,108700,109000,108500,108700,334,36330000,24550,15262
20240625,1007,108900,109800,108900,109500,774,84487000,24671,15915
20240625,1008,109600,110200,109600,109900,1034,113683000,25343,16277
20240625,1009,109800,110600,109700,110600,521,57355000,25476,16665
20240625,1010,110600,111200,110500,110600,505,55911000,25652,16994
20240625,1011,110600,110700,110400,110600,250,27646000,25751,17145
20240625,1012,110600,111500,110200,110300,695,77081000,25995,17596
20240625,1013,110300,110600,110200,110500,257,28369000,26055,17793
20240625,1014,110500,110500,110200,110300,113,12475000,26144,17817
20240625,1015,110400,111300,110300,111000,208,23040000,26189,17980
20240625,1016,111000,111000,110200,110300,474,52337000,26442,18201
20240625,1017,110200,110400,110200,110300,185,20401000,26559,18269
20240625,1018,110300,110700,110200,110500,349,38519000,26722,18455
20240625,1019,110400,111000,110400,110600,292,32329000,26806,18663
20240625,1020,110600,110600,110300,110300,230,25390000,26875,18824
20240625,1021,110300,110600,110100,110400,232,25612000,26935,18996
20240625,1022,110400,110800,110400,110700,172,19011000,26965,19138
20240625,1023,110600,110600,110300,110300,373,41186000,27191,19285
20240625,1024,110400,110800,110400,110700,141,15600000,27194,19423
20240625,1025,110700,111000,110400,110900,220,24345000,27283,19554
20240625,1026,111000,111000,110300,110500,179,19794000,27424,19592
20240625,1027,110500,110700,110300,110500,180,19891000,27484,19712
20240625,1028,110400,110900,110400,110800,380,42040000,27520,20056
20240625,1029,110700,110900,110400,110700,418,46255000,27755,20239
20240625,1030,110700,111000,110600,110600,317,35082000,27970,20341
20240625,1031,110500,111000,110300,110700,570,63054000,28236,20645
20240625,1032,110800,111200,110800,110800,590,65475000,28377,21094
20240625,1033,110800,111100,110600,110600,301,33355000,28665,21107
20240625,1034,110600,110800,110200,110200,344,38021000,28915,21201
20240625,1035,110200,110300,109800,110100,437,48093000,29120,21433
20240625,1036,110100,110300,109700,109700,323,35506000,29354,21522
20240625,1037,109700,109900,109600,109600,420,46101000,29499,21797
20240625,1038,109600,109800,109200,109200,408,44693000,29733,21971
20240625,1039,109500,110200,109500,110000,219,24069000,29777,22146
20240625,1040,109900,109900,109600,109600,209,22938000,29884,22248
20240625,1041,109600,109700,109400,109600,233,25522000,29977,22388
20240625,1042,109600,110300,109600,110300,807,88758000,30422,22750
20240625,1043,110100,110300,110000,110100,317,34910000,30548,22941
20240625,1044,110100,110300,110000,110100,390,42916000,30834,23045
20240625,1045,110100,110300,110000,110100,329,36238000,30989,23219
20240625,1046,110000,110000,109500,109500,430,47229000,31407,23231
20240625,1047,109400,109500,109200,109200,525,57381000,31654,23509
20240625,1048,109300,109500,109100,109300,298,32546000,31796,23665
20240625,1049,109300,109500,109100,109500,221,24145000,31916,23766
20240625,1050,109500,109500,109100,109200,256,27964000,32078,23860
20240625,1051,109200,109200,108900,109000,399,43500000,32327,24010
20240625,1052,109000,109400,109000,109400,130,14199000,32353,24114
20240625,1053,109400,109400,109100,109300,384,41975000,32521,24330
20240625,1054,109400,109700,109400,109500,279,30558000,32637,24493
20240625,1055,109500,109700,109500,109700,333,36490000,32763,24700
20240625,1056,109500,109600,109200,109200,248,27126000,32898,24813
20240625,1057,109200,109300,109000,109200,437,47688000,33107,25041
20240625,1058,109100,109400,109100,109300,158,17259000,33186,25120
20240625,1059,109200,109400,109100,109200,233,25438000,33265,25274
20240625,1100,109100,109200,109100,109100,155,16914000,33364,25330
20240625,1101,109100,109300,109000,109000,244,26607000,33545,25393
20240625,1102,109300,109400,109100,109100,333,36370000,33680,25591
20240625,1103,109200,109300,109100,109200,192,20960000,33791,25672
20240625,1104,109200,109400,109100,109200,215,23489000,33902,25776
20240625,1105,109300,109300,109100,109100,177,19322000,33990,25865
20240625,1106,109100,109500,109100,109500,557,60828000,34171,26241
20240625,1107,109400,109400,109300,109400,320,35000000,34263,26469
20240625,1108,109400,109500,109200,109400,280,30619000,34398,26614
20240625,1109,109300,109700,109300,109600,367,40189000,34537,26842
20240625,1110,109500,109700,109400,109400,203,22232000,34619,26963
20240625,1111,109400,109500,109100,109300,292,31901000,34784,27090
20240625,1112,109300,109300,109100,109200,221,24131000,34918,27177
20240625,1113,109300,109300,109100,109100,157,17145000,34998,27254
20240625,1114,109100,109300,109000,109200,260,28364000,35138,27374
20240625,1115,109200,109200,109000,109000,136,14832000,35241,27407
20240625,1116,109000,109100,109000,109000,405,44156000,35533,27520
20240625,1117,109100,109500,108900,109500,448,48910000,35712,27789
20240625,1118,109500,109900,109500,109900,255,27985000,35752,28004
20240625,1119,109900,110200,109800,109900,741,81570000,36131,28366
20240625,1120,109900,109900,109600,109700,210,23042000,36217,28490
20240625,1121,109700,109800,109500,109700,236,25867000,36352,28591
20240625,1122,109700,109800,109700,109700,174,19095000,36458,28659
20240625,1123,109700,109800,109300,109400,153,16749000,36538,28732
20240625,1124,109400,109500,109300,109400,199,21772000,36644,28825
20240625,1125,109300,109300,109100,109300,294,32111000,36753,29010
20240625,1126,109100,109300,109100,109300,235,25656000,36906,29092
20240625,1127,109200,109400,109100,109200,330,36038000,37142,29186
20240625,1128,109200,109400,109100,109300,360,39313000,37307,29381
20240625,1129,109400,109500,109100,109300,431,47103000,37620,29499
20240625,1130,109200,109500,109200,109400,295,32247000,37709,29705
20240625,1131,109300,109400,109000,109300,459,50123000,37990,29883
20240625,1132,109400,109400,109100,109200,155,16925000,38063,29965
20240625,1133,109200,109800,109200,109800,301,32944000,38141,30188
20240625,1134,109900,110300,109800,110200,493,54282000,38251,30571
20240625,1135,110200,110200,109800,109900,112,12317000,38282,30652
20240625,1136,109900,110000,109700,109900,215,23621000,38378,30771
20240625,1137,109900,109900,109700,109900,126,13840000,38408,30867
20240625,1138,109800,110000,109600,109700,285,31284000,38504,31056
20240625,1139,109700,110300,109700,110000,383,42147000,38564,31379
20240625,1140,110000,110100,110000,110100,206,22670000,38617,31532
20240625,1141,110000,110000,109700,109900,275,30213000,38762,31662
20240625,1142,109900,109900,109500,109600,226,24777000,38896,31754
20240625,1143,109600,109700,109600,109700,47,5152000,38928,31769
20240625,1144,109600,109800,109600,109600,212,23255000,39003,31906
20240625,1145,109600,110500,109600,110100,551,60640000,39066,32394
20240625,1146,110200,110200,109700,110000,316,34726000,39189,32587
20240625,1147,110100,110300,110000,110000,184,20255000,39242,32718
20240625,1148,110000,110300,109900,110100,135,14865000,39315,32780
20240625,1149,110100,110100,109900,110000,240,26389000,39398,32937
20240625,1150,109900,110000,109700,110000,171,18782000,39505,33001
20240625,1151,109900,110000,109500,109800,147,16135000,39550,33103
20240625,1152,109900,110000,109700,109900,175,19220000,39624,33204
20240625,1153,109900,110000,109600,109700,324,35599000,39689,33463
20240625,1154,109700,110400,109700,110000,416,45773000,39741,33827
20240625,1155,110200,110300,109900,109900,215,23658000,39888,33895
20240625,1156,110100,110100,109700,109700,560,61516000,40221,34122
20240625,1157,109700,109800,109300,109400,284,31141000,40402,34225
20240625,1158,109400,109700,109300,109500,287,31406000,40595,34319
20240625,1159,109300,109800,109100,109600,333,36443000,40829,34418
20240625,1200,109600,109900,109100,109800,527,57708000,40984,34790
20240625,1201,109900,110000,109600,110000,358,39314000,41144,34988
20240625,1202,110000,110400,109800,109900,455,50128000,41278,35309
20240625,1203,109900,110200,109900,110100,153,16826000,41361,35379
20240625,1204,110100,110100,109700,109800,266,29220000,41511,35495
20240625,1205,109900,110100,109800,110000,195,21438000,41572,35629
20240625,1206,109900,110000,109800,109800,177,19460000,41622,35756
20240625,1207,110000,110000,109800,110000,223,24505000,41675,35926
20240625,1208,110100,110200,109800,109900,290,31889000,41823,36068
20240625,1209,109900,110000,109700,109900,156,17138000,41874,36173
20240625,1210,109900,110000,109600,110000,270,29654000,42012,36305
20240625,1211,109800,110200,109800,109800,226,24842000,42138,36405
20240625,1212,109800,110200,109800,110100,379,41666000,42180,36742
20240625,1213,110100,110200,110100,110100,114,12553000,42279,36757
20240625,1214,110200,110400,110100,110300,272,29986000,42343,36965
20240625,1215,110300,110500,110300,110300,211,23291000,42415,37104
20240625,1216,110300,110400,110000,110200,483,53244000,42596,37406
