날짜,시간,시가,고가,저가,종가,거래량,거래대금,누적체결매도수량,누적체결매수수량
20240619,903,7560,7820,7470,7700,808159,6159329000,211968,596191
20240619,904,7690,8000,7690,7910,769377,6074950000,553682,1023854
20240619,905,7930,8050,7910,7990,419089,3353215000,763472,1233153
20240619,906,7990,8050,7910,7970,281839,2246803000,922708,1355756
20240619,907,7970,8110,7940,8090,388103,3113442000,1031624,1634943
20240619,908,8050,8100,7990,7990,229905,1847300000,1173006,1723466
20240619,909,8000,8000,7920,7950,160862,1277886000,1289317,1768017
20240619,910,7940,8250,7940,8230,528296,4293721000,1439911,2145719
20240619,911,8220,8290,8160,8160,449814,3703324000,1662682,2372762
20240619,912,8180,8280,8160,8240,213705,1759895000,1775959,2473190
20240619,913,8250,8310,8210,8310,359745,2978816000,1864386,2744508
20240619,916,8310,8490,8250,8470,580542,4862593000,2094637,3094799
20240619,917,8470,8470,8310,8360,365636,3065855000,2347171,3207901
20240619,918,8360,8360,8220,8230,266908,2209445000,2549502,3272478
20240619,919,8230,8300,8220,8240,142390,1175440000,2624016,3340354
20240619,920,8240,8240,8110,8130,288340,2353097000,2863413,3389297
20240619,921,8130,8170,8070,8070,203829,1653410000,3008081,3448458
20240619,922,8100,8220,8060,8200,186620,1524630000,3085660,3557499
20240619,923,8200,8320,8190,8280,183192,1513917000,3141772,3684579
20240619,924,8280,8300,8150,8160,116810,961866000,3234129,3709032
20240619,925,8150,8410,8150,8400,270935,2256527000,3304218,3909878
20240619,926,8410,8450,8260,8270,234715,1966038000,3435218,4013593
20240619,927,8270,8350,8150,8230,168033,1383561000,3532657,4084187
20240619,928,8220,8250,8150,8170,91501,749511000,3602516,4105829
20240619,929,8170,8260,8160,8220,58063,477963000,3633662,4132746
20240619,930,8230,8230,8150,8150,62984,514669000,3689440,4139952
20240619,931,8150,8160,8050,8090,152148,1231592000,3809996,4171544
20240619,932,8090,8110,8070,8100,64644,522819000,3846649,4199535
20240619,933,8090,8100,8010,8020,164173,1319878000,3978318,4232039
20240619,934,8020,8050,7980,8040,158277,1267866000,4101429,4267205
20240619,935,8030,8100,8030,8080,70071,565604000,4133878,4304827
20240619,936,8080,8080,7960,7960,77815,623750000,4197694,4318826
20240619,937,7960,7980,7920,7930,127678,1014625000,4303141,4341057
20240619,938,7930,7980,7910,7970,76288,605800000,4339962,4380524
20240619,939,7970,7990,7930,7950,52503,418329000,4369949,4403040
20240619,940,7950,7970,7910,7920,33961,269306000,4391962,4414988
20240619,941,7910,7950,7900,7930,50879,403119000,4420777,4437052
20240619,942,7920,7950,7840,7880,120454,949042000,4515996,4462287
20240619,943,7870,7880,7780,7790,142198,1111157000,4619396,4501085
20240619,944,7800,7830,7780,7810,73622,574555000,4656963,4537140
20240619,945,7810,7840,7790,7810,88827,693304000,4701848,4581082
20240619,946,7810,7850,7800,7820,60176,471282000,4736703,4606403
